trial_number,semiprime_N,factor_p,factor_q,bit_size,linear_operations,entropic_operations,operations_saved,speedup_ratio,linear_rank,entropic_rank,rank_improvement,time_seconds
49,2158381126431997,35884867,60147391,51,4239360,2207402,2031958,0.47930772569444446,-1,-1,0,14.990335464477539
50,2696950564194629,35398523,76188223,52,4700160,2447337,2252823,0.47930772569444446,-1,-1,0,17.182193756103516
51,7485175497565457,72241907,103612651,53,7833600,4078895,3754705,0.47930772569444446,-1,-1,0,27.68779706954956
52,4937371799797663,48388621,102035803,53,6359040,3311103,3047937,0.47930772569444446,-1,-1,0,22.20722532272339
53,13207127219309183,99084617,133291399,54,10414080,5422531,4991549,0.47930772569444446,-1,-1,0,36.51226353645325
54,8949664846020499,72193223,123968213,53,8570880,4462791,4108089,0.47930772569444446,-1,-1,0,29.86372470855713
55,12801465616647023,104176421,122882563,54,10229760,5326557,4903203,0.47930772569444446,-1,-1,0,36.79306149482727
56,2654118162388417,37917647,69996911,52,4700160,2447337,2252823,0.47930772569444446,-1,-1,0,16.57553458213806
57,3820297355256479,41943493,91082003,52,5621760,2927207,2694553,0.47930772569444446,-1,-1,0,19.831117868423462
58,5546781357005047,71436641,77646167,53,6727680,3503051,3224629,0.47930772569444446,-1,-1,0,24.15908122062683
59,3934476197858923,47203633,83351131,52,5713920,2975194,2738726,0.47930772569444446,-1,-1,0,20.585949659347534
60,2256679316258827,39941417,56499731,52,4331520,2255389,2076131,0.47930772569444446,-1,-1,0,15.159907817840576
61,3684055258297481,50905087,72371063,52,5529600,2879280,2650320,0.479296875,-1,-1,0,19.492592811584473
62,7113298038335131,66744373,106575247,53,7649280,3983004,3666276,0.479296875,-1,-1,0,26.637309312820435
63,3905769416172263,48980611,79741133,52,5713920,2975256,2738664,0.479296875,-1,-1,0,19.943655967712402
64,5784649052261873,57613307,100404739,53,6912000,3599100,3312900,0.479296875,-1,-1,0,24.287970304489136
65,5747607771015419,65752391,87412909,53,6912000,3599100,3312900,0.479296875,-1,-1,0,24.291521787643433
66,7142134939393301,67613839,105631259,53,7649280,3983004,3666276,0.479296875,-1,-1,0,27.734986543655396
67,7180791876729301,65954753,108874517,53,7649280,3983004,3666276,0.479296875,-1,-1,0,26.989104509353638
68,7831820851999631,67674311,115728121,53,8017920,4174956,3842964,0.479296875,-1,-1,0,28.266599893569946
69,3120765623785573,38885149,80255977,52,5068800,2639340,2429460,0.479296875,-1,-1,0,17.731299877166748
70,6063400627930637,52373863,115771499,53,7096320,3695076,3401244,0.479296875,-1,-1,0,25.41235613822937
71,5456714631306079,59844989,91180811,53,6727680,3503124,3224556,0.479296875,-1,-1,0,24.249077558517456
72,2773467249449051,50843797,54548783,52,4792320,2495376,2296944,0.479296875,-1,-1,0,17.399819135665894
73,4275206577787253,62630753,68260501,52,5990400,3072745,2917655,0.4870551215277778,-1,-1,0,22.10054636001587
74,8881672754768063,91636291,96923093,53,8570880,4396389,4174491,0.4870551215277778,-1,-1,0,30.729048252105713
75,3628989568650337,40576919,89434823,52,5529600,2836380,2693220,0.4870551215277778,-1,-1,0,19.5426185131073
76,14772002484662947,114708413,128778719,54,11059200,5672760,5386440,0.4870551215277778,-1,-1,0,39.305047035217285
77,9178930385260357,95651203,95962519,54,8663040,4443662,4219378,0.4870551215277778,-1,-1,0,30.837883710861206
78,6190493952210871,58595711,105647561,53,7188480,3687294,3501186,0.4870551215277778,-1,-1,0,25.616875171661377
79,6887416141346941,69956251,98453191,53,7557120,3876386,3680734,0.4870551215277778,-1,-1,0,26.5366952419281
80,11393601427831261,94046243,121148927,54,9676800,4963665,4713135,0.4870551215277778,-1,-1,0,34.03902459144592
81,14093984132408641,107404709,131223149,54,10782720,5530941,5251779,0.4870551215277778,-1,-1,0,38.527395725250244
82,4089515124718481,57873581,70662901,52,5806080,2978199,2827881,0.4870551215277778,-1,-1,0,20.667959690093994
83,8632369002737983,89891761,96030703,53,8386560,4301843,4084717,0.4870551215277778,-1,-1,0,29.374716758728027
84,3816901613757097,54510569,70021313,52,5621760,2883653,2738107,0.4870551215277778,-1,-1,0,19.86645770072937
85,4859259695406679,50114081,96963959,53,6359040,3261837,3097203,0.4870551215277778,-1,-1,0,22.101555109024048
86,4095907403518901,61164773,66965137,52,5806080,2978199,2827881,0.4870551215277778,-1,-1,0,20.279367685317993
87,9012479341351061,80456923,112016207,54,8570880,4396389,4174491,0.4870551215277778,-1,-1,0,30.0124990940094
88,3132449757118261,52568287,59588203,52,5068800,2600015,2468785,0.4870551215277778,-1,-1,0,18.11627221107483
89,4843128532409569,64888687,74637487,53,6359040,3261837,3097203,0.4870551215277778,-1,-1,0,22.433854341506958
90,7260453453555821,80191427,90539023,53,7741440,3970932,3770508,0.4870551215277778,-1,-1,0,26.93898057937622
91,2391606940871201,45917279,52085119,52,4423680,2269104,2154576,0.4870551215277778,-1,-1,0,15.763203382492065
92,6409693010859239,50983411,125721149,53,7280640,3734567,3546073,0.4870551215277778,-1,-1,0,26.004263639450073
93,4922577589975109,37580041,130989149,53,3896562,1724442,2172120,0.5574452555868481,56472,24992,31480,13.27811598777771
94,12408099561059723,92983493,133444111,54,10137600,5200030,4937570,0.4870551215277778,-1,-1,0,35.655765771865845
95,10141911042017809,86519249,117221441,54,9123840,4680027,4443813,0.4870551215277778,-1,-1,0,33.26045489311218
96,6733913961649933,57812959,116477587,53,7464960,3829113,3635847,0.4870551215277778,-1,-1,0,26.079345703125
97,5434996922411767,66044357,82293131,53,6727680,3398588,3329092,0.49483506944444444,-1,-1,0,23.720400094985962
98,4900006329828713,49338229,99314597,53,6359040,3212364,3146676,0.49483506944444444,-1,-1,0,21.900017738342285
99,14966469932363003,112147639,133453277,54,11059200,5586720,5472480,0.49483506944444444,-1,-1,0,38.69893002510071
100,12355213635187141,109035217,113313973,54,10045440,5074604,4970836,0.49483506944444444,-1,-1,0,34.711766481399536
